DAMAGE MillionUSD Exp;;DAMAGE MillionUSD TH
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
1;;1
51;;1
51;;1
51;;1
51;;1
51;;1
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
51;;51
101;;51
101;;51
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
101;;101
151;;101
151;;101
151;;101
151;;101
151;;101
151;;151
151;;151
151;;151
151;;151
151;;151
201;;151
201;;151
201;;151
201;;151
201;;151
201;;201
201;;201
201;;201
201;;201
201;;201
251;;201
251;;201
251;;251
251;;251
251;;251
251;;251
251;;251
251;;301
251;;301
251;;301
301;;301
301;;351
301;;351
351;;351
351;;401
351;;401
351;;401
401;;451
401;;451
401;;501
401;;501
451;;551
451;;551
451;;601
451;;601
451;;651
451;;701
501;;751
501;;801
501;;851
501;;901
501;;951
501;;1001
551;;1001
651;;1001
651;;1001
651;;1001
701;;1001
701;;1001
751;;1001
751;;1001
751;;1001
801;;1001
851;;1001
901;;1001
951;;1001
951;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
1001;;1001
